file_a,file_b,jaccard_similarity
0070.py,0339.py,1
0155.py,0322.py,1
0415.py,0456.py,1
0287.py,0393.py,0.971830985915
0171.py,0278.py,0.927950310559
0087.py,0163.py,0.354838709677
0317.py,0388.py,0.34693877551
0173.py,0317.py,0.325
0103.py,0173.py,0.305084745763
0274.py,0432.py,0.301310043668
0087.py,0420.py,0.285714285714
0103.py,0317.py,0.285714285714
0163.py,0420.py,0.285714285714
0256.py,0317.py,0.279279279279
0151.py,0317.py,0.272
0151.py,0388.py,0.265734265734
0153.py,0199.py,0.26455026455
0061.py,0420.py,0.260869565217
0173.py,0388.py,0.254901960784
0061.py,0087.py,0.25
0061.py,0163.py,0.25
0271.py,0274.py,0.244541484716
0084.py,0420.py,0.242105263158
0271.py,0432.py,0.228571428571
0103.py,0420.py,0.22641509434
0042.py,0202.py,0.225806451613
0151.py,0173.py,0.220472440945
0087.py,0103.py,0.214285714286
0103.py,0163.py,0.214285714286
0103.py,0388.py,0.211764705882
0028.py,0274.py,0.206030150754
0256.py,0388.py,0.205882352941
0202.py,0280.py,0.205479452055
0151.py,0274.py,0.200980392157
0028.py,0271.py,0.197044334975
0061.py,0103.py,0.193548387097
0028.py,0432.py,0.190697674419
0173.py,0256.py,0.189655172414
0103.py,0256.py,0.189473684211
0085.py,0256.py,0.184971098266
0173.py,0420.py,0.184210526316
0202.py,0282.py,0.183561643836
0202.py,0274.py,0.182509505703
0202.py,0427.py,0.182186234818
0274.py,0317.py,0.180722891566
0151.py,0256.py,0.179012345679
0042.py,0432.py,0.177325581395
0122.py,0202.py,0.177304964539
0087.py,0173.py,0.177215189873
0163.py,0173.py,0.177215189873
0202.py,0271.py,0.176029962547
0317.py,0420.py,0.175
0084.py,0087.py,0.174757281553
0084.py,0163.py,0.174757281553
0202.py,0432.py,0.172043010753
0274.py,0388.py,0.172043010753
0042.py,0280.py,0.169300225734
0087.py,0317.py,0.168674698795
0153.py,0388.py,0.168674698795
0163.py,0317.py,0.168674698795
0028.py,0103.py,0.168224299065
0061.py,0084.py,0.165137614679
0061.py,0173.py,0.164705882353
0028.py,0173.py,0.162790697674
0085.py,0151.py,0.162303664921
0085.py,0317.py,0.161073825503
0103.py,0151.py,0.160714285714
0271.py,0282.py,0.16
0042.py,0282.py,0.159090909091
0028.py,0317.py,0.157894736842
0061.py,0317.py,0.157303370787
0282.py,0432.py,0.154269972452
0085.py,0388.py,0.153846153846
0317.py,0432.py,0.152173913043
0256.py,0274.py,0.151515151515
0042.py,0274.py,0.150887573964
0153.py,0173.py,0.150684931507
0085.py,0173.py,0.149659863946
0042.py,0271.py,0.149560117302
0042.py,0427.py,0.149305555556
0274.py,0282.py,0.148148148148
0388.py,0432.py,0.147058823529
0153.py,0317.py,0.146666666667
0122.py,0274.py,0.143902439024
0042.py,0122.py,0.142857142857
0085.py,0103.py,0.142857142857
0280.py,0427.py,0.141903171953
0271.py,0280.py,0.140495867769
0388.py,0420.py,0.137254901961
0122.py,0280.py,0.136882129278
0280.py,0282.py,0.136752136752
0061.py,0388.py,0.136363636364
0028.py,0388.py,0.135483870968
0256.py,0432.py,0.13488372093
0151.py,0432.py,0.134782608696
0087.py,0388.py,0.133333333333
0163.py,0388.py,0.133333333333
0478.py,0492.py,0.133333333333
0122.py,0432.py,0.133177570093
0122.py,0271.py,0.131894484412
0085.py,0274.py,0.131004366812
0199.py,0388.py,0.130681818182
0271.py,0317.py,0.130681818182
0084.py,0388.py,0.130434782609
0173.py,0274.py,0.129411764706
0274.py,0280.py,0.129120879121
0084.py,0103.py,0.129032258065
0028.py,0256.py,0.127272727273
0061.py,0199.py,0.12582781457
0028.py,0202.py,0.125523012552
0256.py,0420.py,0.125
0282.py,0427.py,0.124792013311
0280.py,0432.py,0.123684210526
0042.py,0153.py,0.123076923077
0151.py,0271.py,0.122171945701
0028.py,0420.py,0.121951219512
0151.py,0153.py,0.121827411168
0087.py,0256.py,0.121739130435
0163.py,0256.py,0.121739130435
0153.py,0202.py,0.12109375
0103.py,0274.py,0.120805369128
0084.py,0173.py,0.120689655172
0085.py,0153.py,0.119047619048
0103.py,0271.py,0.118421052632
0173.py,0432.py,0.118279569892
0085.py,0432.py,0.117886178862
0084.py,0317.py,0.116666666667
0173.py,0199.py,0.116129032258
0061.py,0256.py,0.115702479339
0028.py,0151.py,0.115384615385
0153.py,0256.py,0.114754098361
0173.py,0271.py,0.114285714286
0153.py,0432.py,0.113821138211
0199.py,0317.py,0.11320754717
0427.py,0432.py,0.110894941634
0122.py,0427.py,0.110778443114
0271.py,0388.py,0.110552763819
0028.py,0087.py,0.110236220472
0028.py,0163.py,0.110236220472
0061.py,0151.py,0.109489051095
0103.py,0432.py,0.109090909091
0103.py,0153.py,0.108527131783
0151.py,0420.py,0.108527131783
0042.py,0199.py,0.107784431138
0153.py,0274.py,0.107296137339
0028.py,0085.py,0.107142857143
0122.py,0153.py,0.106965174129
0028.py,0122.py,0.10621761658
0087.py,0151.py,0.106060606061
0151.py,0163.py,0.106060606061
0085.py,0199.py,0.10599078341
0199.py,0256.py,0.10582010582
0028.py,0061.py,0.105263157895
0103.py,0199.py,0.10447761194
0028.py,0282.py,0.103975535168
0274.py,0427.py,0.10337972167
0199.py,0202.py,0.101886792453
0028.py,0042.py,0.101587301587
0084.py,0153.py,0.101123595506
0271.py,0427.py,0.100591715976
0061.py,0153.py,0.1
0256.py,0271.py,0.1
0061.py,0085.py,0.0993377483444
0028.py,0084.py,0.0987654320988
0153.py,0420.py,0.0985915492958
0084.py,0199.py,0.0983606557377
0085.py,0420.py,0.0979020979021
0087.py,0153.py,0.0965517241379
0153.py,0163.py,0.0965517241379
0085.py,0087.py,0.0958904109589
0085.py,0163.py,0.0958904109589
0199.py,0274.py,0.0958333333333
0199.py,0420.py,0.0952380952381
0087.py,0199.py,0.0933333333333
0163.py,0199.py,0.0933333333333
0122.py,0199.py,0.0922330097087
0084.py,0256.py,0.0921052631579
0151.py,0199.py,0.0917874396135
0028.py,0153.py,0.0909090909091
0199.py,0432.py,0.08984375
0028.py,0280.py,0.0884955752212
0122.py,0282.py,0.0865561694291
0061.py,0274.py,0.0862068965517
0274.py,0420.py,0.0843373493976
0090.py,0320.py,0.083950617284
0028.py,0199.py,0.0833333333333
0084.py,0151.py,0.0828402366864
0087.py,0274.py,0.0828402366864
0163.py,0274.py,0.0828402366864
0271.py,0420.py,0.0828402366864
0085.py,0271.py,0.0826446280992
0087.py,0271.py,0.0813953488372
0163.py,0271.py,0.0813953488372
0300.py,0385.py,0.08
0061.py,0432.py,0.0789473684211
0061.py,0271.py,0.0786516853933
0153.py,0427.py,0.0770791075051
0420.py,0432.py,0.0769230769231
0467.py,0469.py,0.0766129032258
0084.py,0085.py,0.0765027322404
0087.py,0432.py,0.0756756756757
0163.py,0432.py,0.0756756756757
0353.py,0354.py,0.0737100737101
0288.py,0478.py,0.0714285714286
0153.py,0271.py,0.0696721311475
0122.py,0151.py,0.0693069306931
0084.py,0274.py,0.0679611650485
0084.py,0271.py,0.066985645933
0042.py,0151.py,0.0666666666667
0282.py,0388.py,0.0660377358491
0042.py,0388.py,0.0655737704918
0430.py,0472.py,0.065
0028.py,0427.py,0.0643153526971
0199.py,0271.py,0.064
0084.py,0432.py,0.0630630630631
0151.py,0280.py,0.0625
0353.py,0472.py,0.0625
0199.py,0427.py,0.0613861386139
0122.py,0388.py,0.0602094240838
0085.py,0122.py,0.0593824228029
0122.py,0317.py,0.0580110497238
0384.py,0478.py,0.0578034682081
0153.py,0280.py,0.0573770491803
0158.py,0353.py,0.0566801619433
0282.py,0317.py,0.0566666666667
0202.py,0317.py,0.056338028169
0122.py,0256.py,0.0559796437659
0388.py,0427.py,0.0559139784946
0202.py,0388.py,0.0555555555556
0369.py,0398.py,0.0549019607843
0015.py,0469.py,0.054347826087
0158.py,0472.py,0.0528846153846
0158.py,0430.py,0.0520833333333
0280.py,0317.py,0.0517799352751
0151.py,0282.py,0.051724137931
0026.py,0472.py,0.0515873015873
0280.py,0388.py,0.0515151515152
0199.py,0280.py,0.0509383378016
0151.py,0202.py,0.0498084291188
0317.py,0427.py,0.0492170022371
0042.py,0317.py,0.0484429065744
0314.py,0413.py,0.0483870967742
0384.py,0492.py,0.0479041916168
0037.py,0418.py,0.047619047619
0173.py,0202.py,0.0473933649289
0122.py,0173.py,0.0469613259669
0173.py,0282.py,0.0468227424749
0158.py,0481.py,0.0463258785942
0343.py,0418.py,0.0459770114943
0310.py,0314.py,0.0456852791878
0173.py,0280.py,0.0456026058632
0430.py,0481.py,0.0450885668277
0090.py,0369.py,0.0446735395189
0153.py,0282.py,0.0440771349862
0256.py,0280.py,0.0438596491228
0016.py,0208.py,0.0436363636364
0042.py,0256.py,0.0436137071651
0103.py,0282.py,0.0434782608696
0318.py,0369.py,0.043137254902
0061.py,0202.py,0.0430622009569
0122.py,0420.py,0.0426136363636
0103.py,0202.py,0.0425531914894
0103.py,0280.py,0.0422535211268
0151.py,0427.py,0.0422535211268
0354.py,0472.py,0.0422163588391
0130.py,0254.py,0.0419161676647
0301.py,0474.py,0.041825095057
0256.py,0282.py,0.0417910447761
0061.py,0122.py,0.0415512465374
0019.py,0343.py,0.0414201183432
0103.py,0122.py,0.0411764705882
0085.py,0282.py,0.041095890411
0084.py,0122.py,0.0409207161125
0101.py,0415.py,0.0406976744186
0101.py,0456.py,0.0406976744186
0015.py,0467.py,0.0406504065041
0158.py,0354.py,0.0406504065041
0199.py,0282.py,0.0406504065041
0202.py,0256.py,0.0404858299595
0085.py,0280.py,0.0402144772118
0202.py,0420.py,0.0398009950249
0042.py,0085.py,0.0397727272727
0085.py,0202.py,0.0397111913357
0087.py,0122.py,0.0393258426966
0122.py,0163.py,0.0393258426966
0087.py,0202.py,0.0392156862745
0163.py,0202.py,0.0392156862745
0283.py,0369.py,0.0392156862745
0403.py,0476.py,0.0388692579505
0301.py,0374.py,0.0385852090032
0119.py,0382.py,0.0382165605096
0119.py,0413.py,0.0382165605096
0042.py,0173.py,0.0381944444444
0042.py,0084.py,0.0380952380952
0118.py,0235.py,0.0379746835443
0199.py,0430.py,0.0377358490566
0101.py,0412.py,0.036866359447
0015.py,0210.py,0.0368421052632
0026.py,0158.py,0.0367346938776
0353.py,0481.py,0.0366032210835
0353.py,0430.py,0.0365853658537
0084.py,0282.py,0.0364741641337
0345.py,0413.py,0.0363636363636
0210.py,0336.py,0.0361842105263
0118.py,0264.py,0.0361445783133
0288.py,0492.py,0.0361445783133
0283.py,0398.py,0.0359281437126
0318.py,0398.py,0.0358208955224
0236.py,0314.py,0.03515625
0250.py,0254.py,0.0347222222222
0382.py,0413.py,0.033950617284
0310.py,0413.py,0.0338983050847
0059.py,0369.py,0.0336787564767
0153.py,0430.py,0.0336538461538
0128.py,0182.py,0.0333333333333
0084.py,0202.py,0.0331950207469
0283.py,0318.py,0.0331325301205
0435.py,0492.py,0.0330578512397
0256.py,0427.py,0.0329896907216
0007.py,0146.py,0.0327868852459
0119.py,0314.py,0.0325443786982
0090.py,0283.py,0.0325203252033
0320.py,0343.py,0.0324675324675
0261.py,0303.py,0.0323886639676
0374.py,0474.py,0.0314285714286
0042.py,0061.py,0.0313588850174
0105.py,0495.py,0.03125
0015.py,0236.py,0.0311111111111
0173.py,0427.py,0.0310421286031
0085.py,0427.py,0.031007751938
0435.py,0478.py,0.031007751938
0472.py,0481.py,0.030959752322
0100.py,0430.py,0.0309278350515
0119.py,0310.py,0.0305810397554
0119.py,0421.py,0.0303867403315
0009.py,0369.py,0.030303030303
0059.py,0283.py,0.030303030303
0026.py,0353.py,0.0302013422819
0042.py,0103.py,0.0300751879699
0354.py,0430.py,0.0299727520436
0061.py,0282.py,0.0299003322259
0314.py,0421.py,0.0297872340426
0090.py,0398.py,0.0294117647059
0236.py,0336.py,0.0294117647059
0257.py,0297.py,0.0294117647059
0388.py,0430.py,0.0294117647059
0010.py,0101.py,0.0293333333333
0238.py,0250.py,0.0293159609121
0160.py,0283.py,0.0291666666667
0061.py,0280.py,0.0291262135922
0084.py,0430.py,0.0290697674419
0415.py,0468.py,0.028901734104
0456.py,0468.py,0.028901734104
0042.py,0420.py,0.0286738351254
0236.py,0310.py,0.0284552845528
0019.py,0297.py,0.0283687943262
0042.py,0087.py,0.0283687943262
0042.py,0163.py,0.0283687943262
0019.py,0283.py,0.0278884462151
0106.py,0236.py,0.0278745644599
0059.py,0398.py,0.0278372591006
0001.py,0106.py,0.0276243093923
0445.py,0468.py,0.0276243093923
0060.py,0136.py,0.0275862068966
0235.py,0264.py,0.0275229357798
0282.py,0420.py,0.0273037542662
0238.py,0254.py,0.0272727272727
0130.py,0250.py,0.0272373540856
0087.py,0282.py,0.027027027027
0163.py,0282.py,0.027027027027
0119.py,0345.py,0.0269151138716
0130.py,0440.py,0.0268292682927
0019.py,0221.py,0.0267857142857
0388.py,0472.py,0.0267379679144
0015.py,0336.py,0.0266159695817
0280.py,0420.py,0.0265780730897
0207.py,0468.py,0.0264900662252
0009.py,0090.py,0.026455026455
0250.py,0440.py,0.0263653483992
0087.py,0280.py,0.0263157894737
0163.py,0280.py,0.0263157894737
0423.py,0445.py,0.0263157894737
0009.py,0398.py,0.0261627906977
0210.py,0236.py,0.0259259259259
0059.py,0090.py,0.0258964143426
0158.py,0317.py,0.0258064516129
0314.py,0382.py,0.025787965616
0403.py,0474.py,0.0257510729614
0301.py,0403.py,0.0255102040816
0236.py,0413.py,0.0254237288136
0019.py,0360.py,0.0253164556962
0069.py,0495.py,0.0251346499102
0090.py,0160.py,0.0250896057348
0288.py,0384.py,0.025
0299.py,0445.py,0.025
0236.py,0304.py,0.0248226950355
0106.py,0336.py,0.0246153846154
0019.py,0366.py,0.0245398773006
0317.py,0354.py,0.0244648318043
0039.py,0373.py,0.0243902439024
0345.py,0382.py,0.0243407707911
0193.py,0221.py,0.0241935483871
0019.py,0090.py,0.0241379310345
0090.py,0318.py,0.0241286863271
0382.py,0421.py,0.0241286863271
0317.py,0472.py,0.0240963855422
0221.py,0400.py,0.0239808153477
0090.py,0343.py,0.0239726027397
0140.py,0461.py,0.0239294710327
0047.py,0224.py,0.0239130434783
0047.py,0451.py,0.0238568588469
0118.py,0484.py,0.0238095238095
0325.py,0461.py,0.0237825594564
0268.py,0485.py,0.0236220472441
0009.py,0283.py,0.0234604105572
0084.py,0280.py,0.0234604105572
0019.py,0398.py,0.0234375
0009.py,0318.py,0.0233918128655
0019.py,0295.py,0.0233918128655
0304.py,0413.py,0.0233644859813
0026.py,0432.py,0.0233333333333
0009.py,0059.py,0.0233050847458
0158.py,0248.py,0.0232558139535
0228.py,0366.py,0.0232558139535
0191.py,0304.py,0.023166023166
0001.py,0413.py,0.0230769230769
0019.py,0257.py,0.0229007633588
0158.py,0388.py,0.0225988700565
0148.py,0194.py,0.0225352112676
0254.py,0440.py,0.0224719101124
0164.py,0343.py,0.0223642172524
0019.py,0228.py,0.0223463687151
0066.py,0194.py,0.0222222222222
0128.py,0435.py,0.0222222222222
0310.py,0421.py,0.0222222222222
0320.py,0418.py,0.0222222222222
0038.py,0193.py,0.0221774193548
0354.py,0481.py,0.0221402214022
0299.py,0468.py,0.0220994475138
0286.py,0457.py,0.0220588235294
0400.py,0485.py,0.0220588235294
0038.py,0170.py,0.021978021978
0224.py,0263.py,0.021978021978
0158.py,0424.py,0.0218340611354
0463.py,0468.py,0.0217864923747
0369.py,0404.py,0.0217391304348
0207.py,0445.py,0.0216718266254
0199.py,0472.py,0.0215517241379
0016.py,0036.py,0.0214067278287
0073.py,0148.py,0.0214067278287
0155.py,0320.py,0.0214007782101
0320.py,0322.py,0.0214007782101
0026.py,0354.py,0.021377672209
0186.py,0485.py,0.0209302325581
0343.py,0402.py,0.0208333333333
0042.py,0430.py,0.0206489675516
0077.py,0445.py,0.0205992509363
0289.py,0301.py,0.0205479452055
0141.py,0437.py,0.0205223880597
0090.py,0404.py,0.0205128205128
0038.py,0400.py,0.0204778156997
0334.py,0444.py,0.0204582651391
0026.py,0481.py,0.0203784570597
0314.py,0394.py,0.0203488372093
0233.py,0263.py,0.0202360876897
